entrada,fuente,motor_direccion,motor_estado,motor_confianza,motor_advertencias,direccion_esperada,revisado,notas
"107c # carrera 32a 35, Apartamento",raw.csv,CR 32A # 35,PARCIAL,0.98,dirección sin placa | texto antes de la dirección | descartado: '107c #' | descartado: 'apartamento',,si,
CR 57B#76B SUR  06,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 57B # 76B SUR - 06,OK,0.97,placa sin guion,CR 57B # 76B SUR - 06,si,
"calle 84 A#34-24, manrrique oriental barrio jardin la uva primer piso o segundo piso",raw.csv,CL 84A # 34 - 24,OK,1.0,descartado: 'manrrique oriental barrio jardin la uva primer piso o segundo piso',CL 84A # 34 - 24,si,
calle 79 # 39 - 09 segundo piso,raw.csv,CL 79 # 39 - 09,OK,1.0,descartado: 'segundo piso',CL 79 # 39 - 09,si,
cll 83#49a12 casa primer piso carpa roja,raw.csv,CL 83 # 49A - 12,OK,0.97,placa sin guion | descartado: 'casa primer piso carpa roja',CL 83 # 49A - 12,si,
via matazanos los llanos km 28+800,datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,,,si,
CALLE 53 CRA 48,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 53 X CR 48,PARCIAL,1.0,cruce de vías sin placa,,si,
CALLE 41 CR 86,datos.gov.co/yf5q-5qsr (Accidentes Copacabana),CL 41 X CR 86,PARCIAL,1.0,cruce de vías sin placa,,si,
CR 54A#79 SUR 05,datos.gov.co/ysx6-4ez9 (Establecimientos de comercio 2020),CR 54A # 79 SUR - 05,OK,0.97,placa sin guion,CR 54A # 79 SUR - 05,si,
"Calle 71aa # 39 - 24 Primer piso, Manrrique, Antioquia~~~Medellin~~~~~~Calle 71aa # 39 - 24 Primer piso, Manrrique",raw.csv,CL 71AA # 39 - 24,OK,1.0,"descartado: 'primer piso, manrrique'",CL 71AA # 39 - 24,si,
km 6 + 40 hatillo-girardota ( marruecos),datos.gov.co/p9gh-kikx (Accidentalidad Barbosa),,FALLO,0.0,descartado: '( marruecos)',,si,
